nTotal,true_ratio,confidence,estimate
5,0.625,2,60
45,0.875,3,91
5,0.75,3,100
45,0.5,3,73
5,0.125,3,20
25,0.25,2,40
5,1,3,98
5,0.75,3,85
45,0.25,3,10
5,0.875,3,98
45,0.375,2,49
25,0.25,3,10
25,0.5,2,36
5,0.625,2,71
25,0.875,3,99
25,0,3,6
25,0.5,2,45
5,0,2,6
45,0.125,3,6
5,0.625,2,34
45,0.5,2,40
45,0.25,2,44
45,1,3,89
45,0.375,2,35
45,0.625,1,55
5,0.25,2,21
25,0.75,1,61
45,1,3,99
25,0.875,3,95
5,0.75,2,62
45,1,3,99
25,0.625,2,54
45,0,3,1
25,0.625,2,62
45,0.875,3,99
25,1,3,95
5,0.125,1,20
45,0,2,13
45,0.125,3,1
25,0,3,1
25,0.375,1,37
5,1,1,74
25,0.125,2,35
25,0.125,3,1
25,0.625,2,60
5,0.25,1,24
25,0,3,1
25,0.25,2,9
5,0.875,1,75
45,0,3,1
45,0.75,2,58
45,0.5,2,48
5,1,3,97
5,0.5,2,60
45,0.75,3,96
25,0.375,1,37
5,0.5,1,40
5,0.125,1,2
25,0.875,2,55
45,0.875,3,78
25,0.75,3,92
5,0.375,2,21
25,0.5,1,55
25,1,3,99
25,0.125,2,12
5,0.25,2,41
45,0.75,3,83
45,0.25,2,37
25,1,3,99
25,0.375,2,37
45,0.375,2,14
5,0.5,2,60
45,0.625,2,75
45,0.625,2,61
25,0.75,2,77
45,0.125,2,34
5,0.875,2,75
5,0.375,1,40
5,0,1,20
5,0,1,3
5,0.375,1,60
25,0.5,3,52
5,0.125,2,10
25,1,3,95
45,0.875,3,100
45,0.125,3,80
5,0,2,35
25,0.125,3,5
5,1,2,75
5,0.875,2,85
45,0.25,2,35
25,0,3,5
45,0.375,2,53
5,0.5,2,68
45,0.625,3,86
45,0,3,9
45,0,3,4
45,0.5,2,70
45,0.5,2,50
5,0.75,2,80
45,0.375,3,33
25,1,2,85
25,0.875,2,90
5,0.125,2,18
5,0.25,2,15
45,0.625,2,58
5,0.875,2,73
45,1,3,95
45,0.875,3,84
5,0.625,2,93
25,0.625,3,56
5,0.25,2,31
45,0,3,2
45,0.125,3,10
25,0.375,2,47
45,0.75,3,90
25,0.875,2,82
25,0,3,1
5,0.25,3,5
45,1,3,99
45,0.5,2,10
25,0.75,2,12
5,0.5,3,79
25,0.5,2,74
5,0.75,2,93
5,0.5,2,19
5,0.75,2,81
25,0.625,3,82
45,0.625,3,51
25,0.25,2,45
5,0.375,2,59
5,0,2,11
25,0.5,2,18
5,0.375,2,20
25,0.375,2,58
25,0.75,2,60
25,0.875,3,95
45,0.25,3,7
25,0.625,3,90
45,1,3,85
45,0.75,2,50
25,0.125,3,9
45,0.25,3,11
5,1,1,70
5,0.875,2,18
45,0.75,2,73
45,0.375,2,25
25,0,2,11
25,0.125,1,33
5,0.375,1,51
25,0.25,2,9
5,0.625,2,23
5,0,2,7
5,0.625,2,83
25,0.75,2,80
45,0.125,3,3
25,1,3,95
25,0.25,2,31
5,1,2,85
5,0.125,2,9
45,0.875,3,92
25,0.375,3,20
25,0.625,1,53
45,0.25,2,25
25,0.75,2,85
5,0.625,2,63
5,0.625,2,65
45,0.625,2,82
45,0.25,2,10
25,0.75,2,89
25,0,3,1
45,0.125,3,4
5,0.25,3,65
25,1,3,100
5,0.875,3,75
25,0.5,3,31
45,0.875,3,85
45,0.75,1,54
5,0.375,3,60
5,0.5,3,60
45,1,2,86
25,0.25,2,46
25,0.875,3,100
25,0.875,2,88
25,0.875,3,94
5,0.5,1,82
45,0,3,1
45,0.625,3,50
5,0.375,2,40
25,0.375,1,53
25,0.5,2,64
45,0.5,2,67
25,1,2,100
25,0.25,2,14
5,0.75,2,90
45,1,3,100
5,0.75,3,60
5,0.375,1,5
45,0.375,2,6
25,0.25,2,10
45,0.875,2,77
45,0,1,58
5,0.25,3,20
45,0.5,2,19
5,0,3,0
45,0,3,0
5,1,3,99
5,0.75,3,99
5,0.125,3,20
25,0.75,2,68
45,0.5,1,44
25,0.125,3,0
45,0.875,3,100
5,1,3,98
5,0,3,3
45,0.125,3,16
25,0,2,16
5,0.125,3,3
45,0.25,2,31
5,1,3,80
5,0.5,3,40
5,0.875,1,80
45,0.625,2,74
45,0.125,3,0
25,0.625,2,82
45,0.75,2,51
25,0.375,2,20
25,1,2,74
5,0,3,20
5,0.875,3,80
45,0.375,2,47
5,0.625,3,80
5,0.25,3,20
25,0,3,0
5,0.125,3,20
25,0.5,3,40
45,1,3,100
25,0.125,2,15
25,0.125,2,16
25,0.375,2,23
45,0.375,2,39
45,0.75,2,93
25,0.625,2,66
5,1,3,90
25,0.25,3,21
5,0.5,1,55
5,0.375,1,55
45,0.5,2,45
25,0.625,2,60
5,0,2,20
25,1,2,76
45,0.25,2,41
25,0.5,1,50
5,0.625,2,86
45,0,2,18
5,0.375,1,24
45,0.5,1,68
5,0.75,1,68
5,0.75,1,56
45,0.75,1,62
5,0.25,1,54
25,0.25,1,44
45,1,3,95
25,0,3,5
45,0.125,3,10
5,1,1,89
5,0.25,1,13
5,0.625,1,45
5,0.125,1,34
25,0.375,1,26
45,0,3,7
45,0.875,3,96
25,0,3,6
25,0.75,2,45
45,0.875,2,66
25,0,2,65
45,0.75,2,80
45,0.125,3,7
45,0.875,2,85
45,0.625,1,65
25,0.5,1,44
25,0.5,1,55
5,0.375,1,53
5,0.5,1,54
5,0.125,1,13
5,0.75,1,77
45,0.5,1,51
5,0.875,1,63
25,0.125,2,28
25,0.375,2,41
25,0.375,1,44
5,0.25,1,55
5,0.875,1,77
25,0.625,1,58
45,1,2,90
45,0.25,3,10
45,1,3,89
45,0.375,2,42
45,0.75,2,76
5,0,1,40
45,0.625,1,44
25,0.875,1,69
25,1,3,91
25,1,3,92
5,0.125,1,36
45,0.375,1,46
5,0,2,30
25,0.125,1,24
25,0.125,3,12
25,0.25,3,16
45,0,3,8
25,0.75,3,87
25,0.625,2,70
25,0.75,2,77
5,0.625,1,60
25,0.875,2,87
5,0.875,1,87
5,1,1,85
5,0.5,1,58
45,0.375,1,45
45,0.125,1,36
45,0.25,1,37
45,0.625,2,66
25,0.875,2,63
5,0.625,2,75
25,0.5,2,60
25,0.875,3,80
5,0.625,3,80
45,0.875,3,95
45,0.75,3,85
45,0.25,3,20
45,0.875,3,90
25,0.125,3,5
5,0.125,2,25
25,0.125,2,20
45,0.25,2,35
25,0.75,2,45
5,1,3,80
5,1,1,40
25,0.875,3,93
5,0.5,1,59
25,0.25,3,30
5,0.5,2,86
5,0.375,2,40
5,0.875,1,40
25,0,2,25
45,0.625,3,75
5,0.625,2,31
5,0.75,2,83
25,0.625,3,75
5,0,2,16
25,0.125,1,40
5,0.25,2,15
5,0.25,1,32
25,0.375,2,40
45,1,3,94
45,0.875,3,80
45,0.125,3,15
5,1,2,70
45,0.625,2,62
25,0.5,2,70
25,0.875,1,70
25,0.625,3,80
5,0.5,2,65
45,0.75,3,90
25,0.25,2,65
5,0.75,3,95
25,1,3,86
45,0.625,3,89
25,0.5,2,38
25,1,3,65
45,0.375,3,70
5,0.375,1,63
5,0,2,20
5,0.125,1,39
25,0.625,2,76
5,0.875,3,84
25,0.375,3,30
5,0.25,2,31
25,0.75,2,70
45,0.125,3,26
25,0.75,1,40
5,0.875,2,65
45,0.25,3,20
45,0.5,3,30
45,0,3,9
25,0,1,57
45,0.375,3,25
45,1,3,91
45,0.5,2,64
45,0.125,3,6
5,0.375,1,27
25,0,3,10
5,0.75,2,35
5,0.125,2,20
25,0.25,2,13
45,1,3,92
5,0,2,22
25,1,3,89
45,0.75,3,79
45,0.5,2,68
45,0,3,7
45,0,3,13
25,0.375,1,59
45,0.375,3,14
25,0.5,2,73
5,0.25,1,17
45,0.375,2,61
45,1,3,100
45,1,3,100
45,0.75,2,59
25,0.25,1,9
45,0,1,13
5,0.25,1,37
25,0.75,1,82
5,0.625,1,40
45,0.25,1,12
45,0.875,3,100
25,0.125,1,9
5,1,1,100
25,1,1,100
5,0.875,1,100
